word,root
وَلَكُمْ,ولكم,ولكم
مُسْتَقَرٌّ,مستقر,مستقر
وَمَتَٰعٌ,ومتاع,ومتاع
حِينٍ,حين,حين
فَتَلَقَّىٰٓ,فتلقىا,فتلقىا
ءَادَمُ,ءادم,ءادم
رَّبِّهِۦ,ربه,ربه
كَلِمَٰتٍ,كلمات,كلمات
فَتَابَ,فتاب,فتاب
عَلَيْهِ,عليه,عليه
إِنَّهُۥ,انه,انه
ٱلتَّوَّابُ,التواب,التواب
ٱلرَّحِيمُ,الرحيم,الرحيم
فَإِمَّا,فاما,فاما
يَأْتِيَنَّكُم,ياتينكم,ياتينكم
مِّنِّى,منى,منى
فَمَن,فمن,فمن
تَبِعَ,تبع,تبع
هُدَاىَ,هداى,هداى
خَوْفٌ,خوف,خوف
يَحْزَنُونَ,يحزنون,يحزنون
وَكَذَّبُوا۟,وكذبوا,وكذبوا
بِـَٔايَٰتِنَآ,بـاياتنا,بـاياتنا
أَصْحَٰبُ,اصحاب,اصحاب
ٱلنَّارِ,النار,النار
يَٰبَنِىٓ,يابنى,يابنى
إِسْرَٰٓءِيلَ,اسراءيل,اسراءيل
ٱذْكُرُوا۟,اذكروا,اذكروا
نِعْمَتِىَ,نعمتى,نعمتى
ٱلَّتِىٓ,التى,التى
أَنْعَمْتُ,انعمت,انعمت
عَلَيْكُمْ,عليكم,عليكم
وَأَوْفُوا۟,واوفوا,واوفوا
بِعَهْدِىٓ,بعهدى,بعهدى
أُوفِ,اوف,اوف
بِعَهْدِكُمْ,بعهدكم,بعهدكم
وَإِيَّٰىَ,واياى,واياى
فَٱرْهَبُونِ,فارهبون,فارهبون
وَءَامِنُوا۟,وءامنوا,وءامنوا
أَنزَلْتُ,انزلت,انزلت
مُصَدِّقًا,مصدقا,مصدقا
لِّمَا,لما,لما
تَكُونُوٓا۟,تكونوا,تكونوا
أَوَّلَ,اول,اول
كَافِرٍۭ,كافر,كافر
تَشْتَرُوا۟,تشتروا,تشتروا
بِـَٔايَٰتِى,بـاياتى,بـاياتى
ثَمَنًا,ثمنا,ثمنا
قَلِيلًا,قليلا,قليلا
فَٱتَّقُونِ,فاتقون,فاتقون
تَلْبِسُوا۟,تلبسوا,تلبسوا
ٱلْحَقَّ,الحق,الحق
بِٱلْبَٰطِلِ,بالباطل,بالباطل
وَتَكْتُمُوا۟,وتكتموا,وتكتموا
وَأَقِيمُوا۟,واقيموا,واقيموا
وَءَاتُوا۟,وءاتوا,وءاتوا
ٱلزَّكَوٰةَ,الزكواة,الزكواة
وَٱرْكَعُوا۟,واركعوا,واركعوا
مَعَ,معع,مع
ٱلرَّٰكِعِينَ,الراكعين,الراكعين
أَتَأْمُرُونَ,اتامرون,اتامرون
ٱلنَّاسَ,الناس,الناس
بِٱلْبِرِّ,بالبر,بالبر
وَتَنسَوْنَ,وتنسون,وتنسون
أَنفُسَكُمْ,انفسكم,انفسكم
تَتْلُونَ,تتلون,تتلون
ٱلْكِتَٰبَ,الكتاب,الكتاب
أَفَلَا,افلا,افلا
تَعْقِلُونَ,تعقلون,تعقلون
وَٱسْتَعِينُوا۟,واستعينوا,واستعينوا
بِٱلصَّبْرِ,بالصبر,بالصبر
وَٱلصَّلَوٰةِ,والصلواة,والصلواة
وَإِنَّهَا,وانها,وانها
لَكَبِيرَةٌ,لكبيرة,لكبيرة
ٱلْخَٰشِعِينَ,الخاشعين,الخاشعين
