word,root
ٱلَّتِىٓ,ٱلتىٓ,التى
أَنْعَمْتُ,عمت,انعمت
عَلَيْكُمْ,علي,عليكم
وَأَوْفُوا۟,أوفوا۟,واوفوا
بِعَهْدِىٓ,عهدىٓ,بعهدى
أُوفِ,اوف,اوف
بِعَهْدِكُمْ,عهد,بعهدكم
وَإِيَّٰىَ,إيٰى,واياى
فَٱرْهَبُونِ,ٱرهب,فارهبون
وَءَامِنُوا۟,وءامنوا۟,وءامنوا
أَنزَلْتُ,زلت,انزلت
مُصَدِّقًا,صدق,مصدقا
لِّمَا,لما,لما
تَكُونُوٓا۟,تكونوٓا۟,تكونوا
أَوَّلَ,اول,اول
كَافِرٍۭ,كافرۭ,كافر
تَشْتَرُوا۟,شتروا۟,تشتروا
بِـَٔايَٰتِى,بـٔايٰتى,بـاياتى
ثَمَنًا,ثمن,ثمنا
قَلِيلًا,قلل,قليلا
فَٱتَّقُونِ,ٱتق,فاتقون
تَلْبِسُوا۟,سو۟,تلبسوا
ٱلْحَقَّ,ٱلحق,الحق
بِٱلْبَٰطِلِ,ٱلبٰطل,بالباطل
وَتَكْتُمُوا۟,وتكتموا۟,وتكتموا
وَأَقِيمُوا۟,وأقيموا۟,واقيموا
وَءَاتُوا۟,ءاتوا۟,وءاتوا
ٱلزَّكَوٰةَ,ٱلزكوٰ,الزكواة
وَٱرْكَعُوا۟,وٱركعوا۟,واركعوا
مَعَ,مع,مع
ٱلرَّٰكِعِينَ,ٱلرٰكع,الراكعين
أَتَأْمُرُونَ,أمر,اتامرون
ٱلنَّاسَ,ٱلناس,الناس
بِٱلْبِرِّ,ٱلبر,بالبر
وَتَنسَوْنَ,تنس,وتنسون
أَنفُسَكُمْ,نفس,انفسكم
تَتْلُونَ,تتل,تتلون
ٱلْكِتَٰبَ,ٱلكتٰب,الكتاب
أَفَلَا,افل,افلا
تَعْقِلُونَ,عقل,تعقلون
وَٱسْتَعِينُوا۟,وٱستعينوا۟,واستعينوا
بِٱلصَّبْرِ,ٱلصبر,بالصبر
وَٱلصَّلَوٰةِ,وٱلصلوٰة,والصلواة
وَإِنَّهَا,وإن,وانها
لَكَبِيرَةٌ,كبر,لكبيرة
ٱلْخَٰشِعِينَ,ٱلخٰشع,الخاشعين
يَظُنُّونَ,يظن,يظنون
أَنَّهُم,نهم,انهم
مُّلَٰقُوا۟,ملٰقوا۟,ملاقوا
رَبِّهِمْ,ربهم,ربهم
وَأَنَّهُمْ,وأن,وانهم
رَٰجِعُونَ,رٰجع,راجعون
وَأَنِّى,أنى,وانى
فَضَّلْتُكُمْ,فضل,فضلتكم
وَٱتَّقُوا۟,ٱتقوا۟,واتقوا
يَوْمًا,يوم,يوما
تَجْزِى,جزى,تجزى
نَفْسٌ,نفس,نفس
عَن,عن,عن
نَّفْسٍ,نفس,نفس
شَيْـًٔا,شيـٔ,شيـا
يُقْبَلُ,قبل,يقبل
شَفَٰعَةٌ,شفٰع,شفاعة
يُؤْخَذُ,ؤخذ,يوخذ
عَدْلٌ,عدل,عدل
يُنصَرُونَ,نصر,ينصرون
نَجَّيْنَٰكُم,جينٰ,نجيناكم
مِّنْ,من,من
ءَالِ,ءال,ءال
فِرْعَوْنَ,فرع,فرعون
يَسُومُونَكُمْ,ومو,يسومونكم
سُوٓءَ,وٓء,سوء
ٱلْعَذَابِ,ٱلعذاب,العذاب
يُذَبِّحُونَ,ذبح,يذبحون
أَبْنَآءَكُمْ,نٓء,ابناءكم
وَيَسْتَحْيُونَ,ستح,ويستحيون
نِسَآءَكُمْ,سٓء,نساءكم
وَفِى,وفى,وفى
ذَٰلِكُم,ذٰل,ذالكم
بَلَآءٌ,لٓء,بلاء
رَّبِّكُمْ,ربكم,ربكم
فَرَقْنَا,فرق,فرقنا
بِكُمُ,بكم,بكم
ٱلْبَحْرَ,ٱلبحر,البحر
فَأَنجَيْنَٰكُمْ,أنجينٰ,فانجيناكم
وَأَغْرَقْنَآ,وأغرقنآ,واغرقنا
ءَالَ,ءال,ءال
تَنظُرُونَ,نظر,تنظرون
